"","pais_c","ciudad1","quintilpc","ave_income_pc","ave_income_pcna","medianincome","homesize","access","sewer","mediana","fam4"
"1","BOL","La Paz",1,511.303361043028,511.303361043028,541.8,4.20408566103348,0.924729037636501,0.741219976411814,1409.66665649414,2045.21344417211
"2","BOL","La Paz",2,960.733825363773,960.733825363773,963.125,3.92959635400301,0.96607895143448,0.809823187187042,1409.66665649414,3842.93530145509
"3","BOL","La Paz",3,1424.04453216122,1424.04453216122,1406.325,3.47488850244427,0.950812000231786,0.824048917896427,1409.66665649414,5696.17812864488
"4","BOL","La Paz",4,2100.44390047213,2100.44390047213,2062.29168701172,3.06271666568351,0.970130345605285,0.910187012276869,1409.66665649414,8401.77560188853
"5","BOL","La Paz",5,4382.47685031472,4382.47685031472,3566.62506103516,2.25767930665179,0.96923344548676,0.919679874741298,1409.66665649414,17529.9074012589
"6","BRA","Brasilia",1,339.766396426861,339.766396426861,358.333333333333,4.39878680919259,0.924723019760844,0.790036157363707,1500,1359.06558570744
"7","BRA","Brasilia",2,861.473231555612,861.473231555612,875,3.56759503915943,0.954057565587617,0.842757085782915,1500,3445.89292622245
"8","BRA","Brasilia",3,1523.55660546881,1523.55660546881,1500,2.91597909079649,0.957227395262283,0.87505772109232,1500,6094.22642187523
"9","BRA","Brasilia",4,3048.21779748479,3048.21779748479,2999,2.87806633651277,0.964746025301385,0.920967638984139,1500,12192.8711899392
"10","BRA","Brasilia",5,9188.72450012627,NA,7245,2.56325931054562,0.976090633866096,0.887186300519236,1500,36754.8980005051
"11","BRA","Rio de Janeiro",1,295.203692067268,295.203692067268,333.333333333333,3.61926768802922,0.831573306885151,0.86495682638205,1200,1180.81476826907
"12","BRA","Rio de Janeiro",2,775.371462126038,775.371462126038,750,3.10953722735096,0.859251261017691,0.892614259452484,1200,3101.48584850415
"13","BRA","Rio de Janeiro",3,1228.60264280914,1228.60264280914,1200,2.50247756484116,0.885192062708555,0.916048417531528,1200,4914.41057123658
"14","BRA","Rio de Janeiro",4,2195.09238636577,2195.09238636577,2000,2.37381911276894,0.933590678814516,0.943398024437038,1200,8780.36954546308
"15","BRA","Rio de Janeiro",5,7125.02332581697,NA,5170,2.17999476831955,0.976936782375896,0.972781904838386,1200,28500.0933032679
"16","BRA","Sao Paulo",1,329.953656237182,329.953656237182,350,4.02592009691687,0.966880500754494,0.832950441198144,1300,1319.81462494873
"17","BRA","Sao Paulo",2,832.311635885271,832.311635885271,833.333333333333,3.12867404871189,0.975736863124743,0.886034535386712,1300,3329.24654354108
"18","BRA","Sao Paulo",3,1319.02352320637,1319.02352320637,1300,2.83261929419478,0.987849146595038,0.891117281338812,1300,5276.0940928255
"19","BRA","Sao Paulo",4,2262.15287041602,2262.15287041602,2119.8,2.50835040704403,0.988083453733337,0.934827912644654,1300,9048.61148166408
"20","BRA","Sao Paulo",5,8095.68499940852,NA,5500,2.21582562809168,0.99203735874869,0.978872063921062,1300,32382.7399976341
"21","CHL","Antofagasta",1,86555.8062501289,86555.8062501289,95740.8,3.81089894160886,0.992428220079034,0.992428220079034,274950.75,346223.225000515
"22","CHL","Antofagasta",2,181284.99466141,181284.99466141,183702.5,3.52767548110203,1,0.991997784853939,274950.75,725139.97864564
"23","CHL","Antofagasta",3,278556.344714149,278556.344714149,275000,3.4662860626888,1,0.994346368095779,274950.75,1114225.3788566
"24","CHL","Antofagasta",4,444204.90116658,444204.90116658,433289.25,2.87983853129839,1,0.991318292413183,274950.75,1776819.60466632
"25","CHL","Antofagasta",5,1326570.12009699,1326570.12009699,896041.5,2.10672024386864,1,0.994180407371484,274950.75,5306280.48038797
"26","CHL","La Serena",1,63870.3330077033,63870.3330077033,69538.6666666667,3.99440939631738,0.991793609273221,0.972277786326101,166666.666666667,255481.332030813
"27","CHL","La Serena",2,117224.863302043,117224.863302043,116234.333333333,3.52617277621123,0.998436298385029,0.983978467059728,166666.666666667,468899.453208172
"28","CHL","La Serena",3,168497.702499301,168497.702499301,166666.666666667,3.28139660078443,1,0.97526211899818,166666.666666667,673990.809997205
"29","CHL","La Serena",4,245002.175478099,245002.175478099,241686.75,2.93708251978214,0.997430890967013,0.977777206864659,166666.666666667,980008.701912396
"30","CHL","La Serena",5,574963.679893208,574963.679893208,425000,2.48786064794594,0.995632402435578,0.986409064049534,166666.666666667,2299854.71957283
"31","CHL","Santiago",1,88654.44978895,88654.44978895,99000,3.64885091337655,0.980340033610511,0.936700931927803,260000,354617.7991558
"32","CHL","Santiago",2,172249.534000271,172249.534000271,170977.666666667,3.40575305043029,0.98325972733779,0.952713966519455,260000,688998.136001082
"33","CHL","Santiago",3,261661.266674442,261661.266674442,259580.75,3.26288564163566,0.988718038261325,0.954968188316436,260000,1046645.06669777
"34","CHL","Santiago",4,430525.737946309,430525.737946309,413888.666666667,2.8043966429104,0.993460524718653,0.972194766685741,260000,1722102.95178524
"35","CHL","Santiago",5,1352067.90904008,1352067.90904008,1080902.66666667,2.41708124942266,0.99398030237049,0.969450639359189,260000,5408271.63616031
"36","COL","Bogota",1,238292.495360852,238292.495360852,250000,3.52046768565224,0.991375264209656,0.998025011569996,762560.5,953169.981443406
"37","COL","Bogota",2,501503.747974334,501503.747974334,5e+05,3.38809386727009,0.993458135788266,0.996392534166332,762560.5,2006014.99189734
"38","COL","Bogota",3,764247.604457995,764247.604457995,762176.083333333,3.09176800059881,0.992887006480754,0.997350285590589,762560.5,3056990.41783198
"39","COL","Bogota",4,1207817.52143002,1207817.52143002,1182196.59375,2.53138208226308,0.996817744561716,1,762560.5,4831270.08572008
